Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
سليل الهدى,سيد_حسن_البلادي\nاستشهاد,استشهاد الامام محمد الباقر (ع) 1439 هـ\nموكب ماتم بن سلوم - المنامة,1439 هـ,موكب ماتم بن سلوم - المنامة
صونوا الهوى,أحمد_قربان\nاستشهاد,استشهاد الامام جعفر الصادق 1439 هـ\nماتم كرباباد الشرقي - كرباباد,1439 هـ,ماتم كرباباد الشرقي - كرباباد
,سيد_ابراهيم_الستري\nوفاة,وفاة ام البنين سلام الله عليها 1443 هـ\nموكب ماتم بن سلوم - المنامة,1443 هـ,موكب ماتم بن سلوم - المنامة
يا قتيل العبرات,"يوسف_الرومي, سيد_ابراهيم_الستري\nليلة",,1438 هـ,حسينية البلوش - الكويت
طوامير الألم,سيد_شرف_الستراوي\nوفاة,وفاة الامام موسى (ع) 1439 هـ\nموكب ماتم بن سلوم - المنامة,1439 هـ,موكب ماتم بن سلوم - المنامة
خلود الثورة,أحمد_قربان\nوفاة,وفاة السيدةزينب سلام الله عليها 1438 هـ\nموكب عزاء ماتم الجفير,1438 هـ,موكب عزاء ماتم الجفير
سر الله 1,"مصطفى_علي, فاضل_عباس, عيسى_الدرازي, أيمن_محمد, سيد_جعفر_البحراني\nاستشهاد",استشهاد الزهراء (ع) 1443 هـ\nحسينية الامام الباقر (ع) - هيئة موكب بوري - بوري\n\nالهندسة الصوتية : حسن مرهون,1443 هـ,حسينية الامام الباقر (ع) - هيئة موكب بوري - بوري\n\nالهندسة الصوتية : حسن مرهون
صوت المحراب,حسن_نوروز\nوفاة,وفاة السيدةزينب سلام الله عليها 1444 هـ\nموكب عزاء ماتم الحاج عباس - المنامة,1444 هـ,موكب عزاء ماتم الحاج عباس - المنامة
صوت المحراب,"حسن_نوروز, صالح_الدرازي\nاستشهاد",استشهاد الامام علي (ع) ليلة 20 رمضان عام 1438 هـ\nموكب عزاء السقية - السقية,1438 هـ,موكب عزاء السقية - السقية
جمكراني الهوى,حسن_نوروز\nاستشهاد,استشهاد الحسن العسكري (ع) عام 1441 هـ\nموكب ماتم بن سلوم - المنامة,1441 هـ,موكب ماتم بن سلوم - المنامة
يا سامراءجئناك بالدمع الاحمر,علي_حمادي\nاستشهاد,استشهاد الامام علي الرضا (ع) عام 1422 هـ\nموكب ماتم الحاج عباس - المنامة,1422 هـ,موكب ماتم الحاج عباس - المنامة
مولاي يا مولاي برد على احشاي,علي_حمادي\nاستشهاد,استشهاد الامام علي (ع) ليلة 19 عام 1422 هـ\nموكب النعيم - ماتم النعيم - النعيم,1422 هـ,موكب النعيم - ماتم النعيم - النعيم
مهاجر الى الشهادة,"أيمن_المقابي, سيد_حسين_المالكي\nحرم",,1443 هـ,ماتم السنابس - السنابس
قصة حزن,أيمن_المقابي\nاستشهاد,استشهاد الامام علي (ع) - 1444 هـ\nماتم كرزكان - كرزكان,1444 هـ,ماتم كرزكان - كرزكان
محكمة القيامة,أحمد_قربان\nليلة,,1441 هـ,موكب ماتم الحاج عباس - المنامة
الصدر المكسور,محمد_الكراني\nليلة,,1444 هـ,موكب ماتم بن سلوم - المنامة
وينك يا حيدر ؟,سيد_شرف_الستراوي\nاستشهاد,استشهاد الزهراء (ع) - 1440 هـ\nموكب ماتم بن سلوم - المنامة,1440 هـ,موكب ماتم بن سلوم - المنامة
مامات حيدر,صالح_الدرازي\nاستشهاد,استشهاد الامام علي (ع) ليلة 19 رمضان عام  1443 هـ\nموكب عزاء قرية عذاري,1443 هـ,موكب عزاء قرية عذاري
مسلم الفداء,كميل_عاشور\nليلة,,1444 هـ,موكب ماتم بن سلوم - المنامة
نداء السماء,"أحمد_قربان, سيد_هاني_الوداعي\nاستشهاد",استشهاد الزهراء (ع)  1437 هـ\nموكب ماتم بن سلوم - المنامة,1437 هـ,موكب ماتم بن سلوم - المنامة
بنت الخمار,أحمد_قربان\nاستشهاد,استشهاد الزهراء (ع)  1444 هـ\nموكب ماتم الحاج عباس - المنامة,1444 هـ,موكب ماتم الحاج عباس - المنامة
مخزن الأسرار,صادق_العكراوي,استشهاد الزهراء (ع) \nالليالي الفطمية - الليلة الثالثة \nليلة ١٤ جمادى الأولى ١٤٣٥ هـ\nمسجد الزهراء - سيهات,١٤٣٥ هـ,مسجد الزهراء - سيهات
أم الثائرين,سيد_هاني_الوداعي\nوفاة,وفاة ام البنين سلام الله عليها عام 1438 هـ\nموكب ماتم بن سلوم المركزي - المنامة,1438 هـ,موكب ماتم بن سلوم المركزي - المنامة
ضربة الوالي,سيد_شرف_الستراوي\nاستشهاد,استشهاد الامام علي (ع) ليلة 20 عام 1438 هـ\nموكب ماتم بن سلوم المركزي - المنامة,1438 هـ,موكب ماتم بن سلوم المركزي - المنامة
يا مدد الشهادة,"مهدي_سهوان, أباذر_الحلواجي\nاستشهاد",استشهاد الزهراء (ع) 1425 هـ\nماتم السنابس,1425 هـ,ماتم السنابس
فجر القرآن,مهدي_سهوان\nاستشهاد,استشهاد الرسول الاعظم النبي محمد (ص) 1427 هـ\nالأعادة في ماتم الديه,1427 هـ,ماتم الديه
من سمعت صوت الوالي,علي_حمادي\nاستشهاد,استشهاد الامام علي (ع) ليلة 19 عام 1422 هـ\nماتم كرباباد - كرباباد,1422 هـ,ماتم كرباباد - كرباباد
مركب الحسين,صالح_الدرازي\nليلة,,1425 هـ,موكب ماتم الحاج عباس
,سيد_حسين_الموسوي\nاستشهاد,استشهاد الامام محمد الباقر (ع) 1443 هـ\nموكب ماتم بن سلوم المركزي - العاصمة المنامة,1443 هـ,موكب ماتم بن سلوم المركزي - العاصمة المنامة
,أحمد_العويناتي\nاستشهاد,استشهاد الإمام الحسن المجتبى (ع) 1444 هـ\nموكب ماتم بن سلوم المركزي - العاصمة المنامة,1444 هـ,موكب ماتم بن سلوم المركزي - العاصمة المنامة
,مهدي_سهوان\nاستشهاد,استشهاد الرسول الاعظم النبي محمد (ص) 1444 هـ\nموكب ماتم بن سلوم المركزي - العاصمة المنامة,1444 هـ,موكب ماتم بن سلوم المركزي - العاصمة المنامة
,أحمد_قربان\nاستشهاد,استشهاد الامام العسكري 1444 هـ\nموكب ماتم بن سلوم المركزي - العاصمة المنامة,1444 هـ,موكب ماتم بن سلوم المركزي - العاصمة المنامة
كل حي للممات,علي_حمادي\nليلة,,1422 هـ,مسجد فامة الزهراء - مدينة الزهراء
سورة الكوثر,صادق_العكراوي\nذكرى,ذكرى استشهاد الزهراء (ع) 1441 هـ\nموكب عزاء ماتم الجفير - الجفير,1441 هـ,موكب عزاء ماتم الجفير - الجفير
نور التضحية,"صادق_العكراوي, عيسى_العكراوي\nذكرى",ذكرى وفاة ام البنين 1441 هـ\nموكب عزاء مركوبان - سترة,1441 هـ,موكب عزاء مركوبان - سترة
القلب الرحيم,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد الرسول الاعظم (ص) 1435 هـ\nحسينية البلوش - الكويت,1435 هـ,حسينية البلوش - الكويت
القبر المغيب,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع)  1429 هـ\nالدراز,1429 هـ,
الليلة الأخيرة,"صالح_الدرازي, حيدر_الحلواجي, عبد_الجبار_الدرازي\nليلة",,1444 هـ,موكب عزاء ماتم بن سلوم - المنامة
عاشقة الزهراء,سيد_هاني_الوداعي\nذكرى,ذكرى وفاة السيدة أم البنين 1444 هـ\nموكب عزاء ماتم بن سلوم - المنامة,1444 هـ,موكب عزاء ماتم بن سلوم - المنامة
العهد مع الحسين,الشيخ_حسين_الأكرف\nليلة,,1428 هـ,موكب عزاء بن سلوم - المنامة
العباس ثورة الوفاء,"الشيخ_حسين_الأكرف, أحمد_قربان\nليلة",,1424 هـ,
الضلع الدامي,الشيخ_حسين_الأكرف\nاستشهاد,استشهاد الزهراء (ع) 1431 هـ\nمأتم السيدة زينب (ع)\nمطرح - عمان,1431 هـ,
السلام يا إمام,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد الإمام الحسن العسكري (ع) 1424 هـ\nموكب عزاء بن سلوم - المنامة,1424 هـ,موكب عزاء بن سلوم - المنامة
خير الأوصياء,سيد_شرف_الستراوي\nذكرى,ذكرى استشهاد الامام علي (ع) - 1435 هـ\nماتم السنابس الكبير - السنابس,1435 هـ,ماتم السنابس الكبير - السنابس
نبراس الاحرار,صالح_الدرازي\nذكرى,ذكرى استشهاد الامام السجاد (ع) - 1429 هـ\nداركليب,1429 هـ,
اصل يقيني,"محمود_الشهابي, حسن_نوروز\nذكرى",ذكرى استشهاد الامام الكاظم (ع) - 1438 هـ\nمسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع),1438 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع)
يا غريب الغرباء,جعفر_الدرازي\nذكرى,ذكرى استشهاد الامام علي الرضا (ع) - 1423 هـ\nموكب عزاء قرية المالكية,1423 هـ,موكب عزاء قرية المالكية
روح الله,"عبد_الأمير_البلادي, جعفر_الدرازي\nتأبين",,1436 هـ,ماتم القائم - اسكان عالي\n\nالتسجيل الصوتي: حسن مرهون \nالهندسة الصوتية : محسن الدقاق
جمرة الحنين من دم الحسين,"علي_حمادي, يوسف_الرومي, صالح_الدرازي, سيد_علي_الدرازي",,1422 هـ,ماتم الامام علي - قرية ابو قوة
سلام يا ثرى الزاكي,علي_حمادي\nذكرى,ذكرى استشهاد الامام علي الهادي (ع) - 1419 هـ\nموكب عزاء صدد - قرية صدد,1419 هـ,موكب عزاء صدد - قرية صدد
جئناك ننعاك,علي_حمادي\nذكرى,ذكرى استشهاد الامام الحسن العسكري (ع) - 1419 هـ\nموكب عزاء ماتم بن سلوم - المنامة,1419 هـ,موكب عزاء ماتم بن سلوم - المنامة
أبن سلامي,علي_حمادي\nذكرى,ذكرى استشهاد الامام الصادق (ع) - 1419 هـ\nموكب عزاء النعيم - النعيم,1419 هـ,موكب عزاء النعيم - النعيم
أبنة الصبر,"حسن_نوروز, صادق_العكراوي",ذكرى استشهاد السيدة زينب عليها السلام - 1437 هـ\nحسينية خدارسون - القضيبية,1437 هـ,حسينية خدارسون - القضيبية
تشييع الانبياء,"عبد_الأمير_البلادي, صالح_الدرازي",,1443 هـ,موكب مأتم بمن سلوم المركزي - العاصمة المنامة
من اذاها,صالح_الدرازي\nذكرى,ذكرى استشهاد الزهراء (ع) - 1428 هـ\nماتم ابو صيبع  - ابو صيبع,1428 هـ,ماتم ابو صيبع  - ابو صيبع
مدرسة الاجيال,"صالح_الدرازي, سيد_شرف_الستراوي\nذكرى",,1437 هـ,ماتم الامام علي (ع) - ابو قوة
منهج الاباء,"عبد_الأمير_البلادي, صالح_الدرازي",ذكرى استشهاد الامام الكاظم (ع) - 1444 هـ\nموكب مأتم بمن سلوم المركزي - العاصمة المنامة,1444 هـ,موكب مأتم بمن سلوم المركزي - العاصمة المنامة
الحسين صرخة الدنيا,الشيخ_حسين_الأكرف\nليلة,,1423 هـ,
الحسين صرخة الدنيا,الشيخ_حسين_الأكرف\nتسجيل,,,
الحسين صرخة الدنيا,الشيخ_حسين_الأكرف\nليلة,,1423 هـ,موكب النعيم
البراءة الشهيدة,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد أولاد مسلم (ع) 1424 هـ\nبني جمرة,1424 هـ,
الصابرة 1,يوسف_الرومي\n\nوفاة,وفاة ام البنين (ع)  - 1434 هـ  \nحسينية الامام الباقر (ع) - هيئة موكب بوري,1434 هـ,حسينية الامام الباقر (ع) - هيئة موكب بوري
الصابرة 9,"صالح_الدرازي, عبد_الأمير_البلادي\n#سيد_هاني_الوداعي\n#سيد_حسين_الموسوي\nنخبة",وفاة السيدة ام البنين (ع)  - 1442 هـ \nهذا الجزء من الصابرة كان استوديو بسبب الكورونا \nحسينية الامام الباقر - هيئة موكب بوري,1442 هـ,موكب\n\nوفاة السيدة ام البنين (ع)  - 1442 هـ \nهذا الجزء من الصابرة كان استوديو بسبب الكورونا \nحسينية الامام الباقر - هيئة موكب بوري
الصابرة 8,"صالح_الدرازي, جعفر_الدرازي, سيد_حسين_الموسوي",وفاة ام البنين (ع)  - 1441 هـ \nحسينية الامام الباقر - هيئة موكب بوري,1441 هـ,حسينية الامام الباقر - هيئة موكب بوري
الصابرة 7,"صالح_الدرازي\n#سيد_حسين_الموسوي\n#سيد_حسين_المالكي, عبد_الأمير_البلادي",وفاة ام البنين (ع)  - 1440 هـ \nماتم الامام علي (ع) - هيئة موكب بوري\n\nالهندسة الصوتية : جرح الحسين,1440 هـ,ماتم الامام علي (ع) - هيئة موكب بوري\n\nالهندسة الصوتية : جرح الحسين
الصابرة 6,صالح_الدرازي\n#علي_حمادي\n#عبد_الأمير_البلادي\n#سيد_حسين_الموسوي\n\nوفاة,وفاة ام البنين (ع)  - 1439 هـ \nماتم الامام علي (ع) - هيئة موكب بوري,1439 هـ,ماتم الامام علي (ع) - هيئة موكب بوري
الصابرة 5,"صالح_الدرازي\n#حسين_عبد_الرسول, سيد_حسين_الموسوي\n#محمود_الفرساني\n\nوفاة",وفاة ام البنين (ع)  - 1438 هـ \nحسينية الامام الباقر - هيئة موكب بوري\n\nالهندسة الصوتية : محمد سلمان,1438 هـ,حسينية الامام الباقر - هيئة موكب بوري\n\nالهندسة الصوتية : محمد سلمان
الصابرة 4,صالح_الدرازي\n#يوسف_الرومي\n#سيد_حسين_الموسوي\n#صادق_العكراوي\n#حسين_عبد_الرسول,وفاة ام البنين (ع)  - 1437 هـ \nحسينية الامام الباقر - هيئة موكب بوري,1437 هـ,حسينية الامام الباقر - هيئة موكب بوري
الصابرة 3,"يوسف_الرومي\n#سيد_حسين_الموسوي, حسين_عبد_الرسول, علي_الديري\n\nوفاة",وفاة ام البنين (ع)  - 1436 هـ \nحسينية الامام الباقر (ع) - هيئة موكب بوري\n\nالهندسة الصوتية : محسن الدقاق,1436 هـ,حسينية الامام الباقر (ع) - هيئة موكب بوري\n\nالهندسة الصوتية : محسن الدقاق
قدوة المضحين,"مهدي_سهوان, علي_حمادي",وفاة ام البنين 1433 هـ \nماتم العكر,1433 هـ,ماتم العكر
رواية النهر,سيد_محمود_الموسوي,استشهاد اولاد مسلم ابن عقيل 1443 هـ \nموكب عزاء ماتم عذاري\n\nالهندسة الصوتية : علي مبارك,1443 هـ,موكب عزاء ماتم عذاري\n\nالهندسة الصوتية : علي مبارك
النار و الحاطمة,"علي_حمادي, علي_حمادة",استشهاد الزهراء (ع) 1431 هـ \nمسجد فاطمة الزهراء (ع) - مدينة الزهراء\n\nالهندسة الصوتية : محسن الدقاق,1431 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء\n\nالهندسة الصوتية : محسن الدقاق
لن تموت,"أباذر_الحلواجي, صالح_الدرازي\nمحرم",,1433 هـ,
أبرياء,صالح_الدرازي\nمحرم,,1435 هـ,
نورس حزن,صالح_الدرازي\nمحرم,,1434 هـ,
رايات الحسين,حسين_السيسي\nمحرم,,1433 هـ,
حديث الطف,حسين_السيسي\nمحرم,,1435 هـ,
غضب,جعفر_القشعمي\nمحرم,,1435 هـ,
أسطورة,جعفر_القشعمي\nمحرم,,1433 هـ,
خذني اليك,سيد_هاني_الوداعي\nمحرم,,1435 هـ,
شمس خلف السحاب,جعفر_الدرازي\nمحرم,,1435 هـ,
صوت الاحرار,"عبد_الأمير_البلادي, الشيخ_حسين_الأكرف\nمحرم",,1435 هـ,
جمرة ما تبرد,سيد_شرف_الستراوي\nليلة,,1440 هـ,ماتم السنابس الكبير - السنابس
تمشي العقيلة,جعفر_الدرازي\nليلة,,1427 هـ,ماتم النعيم الغربيي - النعيم
روح كربلاء,"سيد_حسين_المالكي, جعفر_الدرازي\nذكرى",,1435 هـ,
لن تنكسر,مهدي_سهوان\nتسقيط,,1438 هـ,ماتم علي بن احمد الحايكي - الحياك - المحرق
جراح عاشوراء,صالح_الدرازي,,1431 هـ,ماتم الحاج حسن العالي - عالي
قد بكينا المحراب حزنا,"عبد_الأمير_البلادي, مصعب_آل_عمير\nليلة",,1433 هـ,ماتم الامام علي (ع) - أبو قوة\n\nالهندسة الصوتية : محسن الدقاق
قد عزينا الهادي,"صالح_الدرازي, أمين_الدرازي\nاستشهاد",استشهاد الهادي عليه السلام - 1430 هـ\nالدراز,1430 هـ,
بالحزن والدمعة,"سيد_هاني_الوداعي, سيد_حسين_الموسوي",استشهاد فاطمة الزهراء عليها السلام - 1431 هـ\nموكب مأتم بن سلوم - المنامة,1431 هـ,موكب مأتم بن سلوم - المنامة
دموع الكاظم,"يوسف_الرومي, سيد_ابراهيم_الستري\nاستشهاد",استشهاد الكاظم عليه السلام - 1432 هـ\nعزاء قرية سترة - واديان\n\nالهندسة الصوتية : حسين علي,1432 هـ,
دمع العيون,"حسين_الجد, أحمد_السماهيجي\nليلة",,1432 هـ,موكب عزاء مأتم أهالي الديه
بحق الحسن الزاكي,"حسين_الجد, أحمد_قربان\nاستشهاد",استشهاد الحسن الزكي عليه السلام - 1429 هـ\nالمالكية,1429 هـ,
ويبقى الحسين,"يوسف_الرومي, سيد_ناصر_الشرف\nمحرم",,1435 هـ,
الباذلون,الشيخ_حسين_الأكرف\nشهر,,1426 هـ,
الأمر تمهد,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد الإمام الحسن العسكري (ع) 1428 هـ\nمسجد الإمام الحسين(ع) - العوامية (القطيف)\n\nأعاد الشيخ الشريط في القطيف بعد مشاركته في موكب صدد المركزي (13),1428 هـ,مسجد الإمام الحسين(ع) - العوامية (القطيف)\n\nأعاد الشيخ الشريط في القطيف بعد مشاركته في موكب صدد المركزي (13)
الممتحنة 15,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي, عبد_المنعم_المرزوق\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1444 هـ \nماتم سار الكبير,1444 هـ,ماتم سار الكبير
الممتحنة 14,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n#حسن_نوروز\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1443 هـ \nماتم سار الكبير,1443 هـ,ماتم سار الكبير
الممتحنة 13,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1442 هـ \nهذا الجزء من الممتحنة كان  قصيدة استوديو بسبب الكورونا\nماتم سار الكبير,1442 هـ,ماتم سار الكبير
الأمر تمهد,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد الأمام الحسن العسكري (ع) 1428 هـ\nموكب صدد المركزي (13),1428 هـ,موكب صدد المركزي (13)
الإسم الأعظم,الشيخ_حسين_الأكرف\nاستشهاد,استشهاد الامام علي (ع) ليلة 22 رمضان 1426 هـ\nمأتم الإمام علي (ع) - أبو قوة,1426 هـ,
الأربعون و الأسى,الشيخ_حسين_الأكرف,,1431 هـ,
الممتحنة 12,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1441 هـ \nماتم السنابس الكبير,1441 هـ,ماتم السنابس الكبير
الممتحنة 11,"علي_حمادي\n#سيد_محمود_الموسوي\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1440 هـ \nماتم سار الكبير,1440 هـ,ماتم سار الكبير
الممتحنة 10,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1439 هـ \nماتم سار الكبير,1439 هـ,ماتم سار الكبير
الممتحنة 9,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1438 هـ \nماتم سار الكبير,1438 هـ,ماتم سار الكبير
الممتحنة 8,"علي_حمادي\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n#أباذر_الحلواجي\n#سيد_حسين_المالكي, أحمد_العويناتي\n#أحمد_قربان\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1437 هـ \nماتم سار الكبير,1437 هـ,ماتم سار الكبير
الممتحنة 7,"علي_حمادي\n#سيد_هاني_الوداعي\n#عبد_الأمير_البلادي, يوسف_الرومي\n#سيد_حسين_الموسوي\n#سيد_حسن_البلادي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1436 هـ \nماتم سار الكبير,1436 هـ,ماتم سار الكبير
الممتحنة 6,"علي_حمادي\n#يوسف_الرومي, عبد_الأمير_البلادي, سيد_حسين_الموسوي\n#صالح_الشيخ\n\n\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1435 هـ \nماتم سار الكبير,1435 هـ,ماتم سار الكبير
الممتحنة 5,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n#يوسف_الرومي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1434 هـ \nماتم سار الكبير,1434 هـ,ماتم سار الكبير
الممتحنة 4,"مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n#يوسف_الرومي\n#عبد_الجبار_الدرازي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1433 هـ \nماتم سار الكبير,1433 هـ,ماتم سار الكبير
الممتحنة 3,"علي_حمادي\n#مهدي_سهوان\n#سيد_مصطفى_الموسوي\n#يوسف_الرومي, سيد_هاني_الوداعي\n#عبد_الأمير_البلادي, عبد_الجبار_الدرازي",استشهاد فاطمة الزهراء (ع)  - 1431 هـ \nماتم سار الكبير,1431 هـ,ماتم سار الكبير
الممتحنة 2,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n#سيد_هاني_الوداعي, صالح_الشيخ\n#حسين_أحمد\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1430 هـ \nماتم سار الكبير,1430 هـ,ماتم سار الكبير
الممتحنة 1,"علي_حمادي\n#مهدي_سهوان\n#عبد_الأمير_البلادي, سيد_حسين_الموسوي\n#حسين_أحمد\n#يوسف_الرومي\n\nاستشهاد",استشهاد فاطمة الزهراء (ع)  - 1429 هـ \nماتم سار الكبير\n\nحمادي ميديا,1429 هـ,ماتم سار الكبير\n\nحمادي ميديا
أغثنا يا أبا العلم,الشيخ_حسين_الأكرف\n\nاستشهاد,استشهاد الأمام الصادق (ع) 1431 هـ\nموكب ماتم بن سلوم - المنامة,1431 هـ,موكب ماتم بن سلوم - المنامة
الحق زهراء,صالح_الدرازي\nاستشهاد,استشهاد فاطمة الزهراء (ع)  - 1443 هـ \nموكب ماتم بن سلوم المركزي  - العاصمة المنامة,1443 هـ,موكب ماتم بن سلوم المركزي  - العاصمة المنامة
سر الله,صالح_الدرازي\nاستشهاد,استشهاد فاطمة الزهراء (ع)  - 1430 هـ \nمسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع)\n\nالهندسة الصوتية : سيد محمد الشهركاني,1430 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع)\n\nالهندسة الصوتية : سيد محمد الشهركاني
يا أم عباس,جعفر_الدرازي\nوفاة,وفاة السيدة ام البنين  - 1433 هـ \nماتم  شباب الامام الحسين (ع) - القديح,1433 هـ,ماتم  شباب الامام الحسين (ع) - القديح
علمينا الصمود,"سيد_حسين_المالكي, سيد_حسين_الموسوي\nاستشهاد",استشهاد السيدة زينب عليها السلام - 1433 هـ \nماتم الامام علي (ع) - ابو قوة\n\nالهندسة الصوتية : محسن الدقاق,1433 هـ,ماتم الامام علي (ع) - ابو قوة\n\nالهندسة الصوتية : محسن الدقاق
عودة الاحزان,"صالح_الدرازي, جعفر_الدرازي\n\nالاربعين",,1424 هـ,ماتم جبلة حبشي - جبلة حبشي
إشراقة الخميني,الشيخ_حسين_الأكرف\n\nتابين,,1424 هـ,
أسرار,الشيخ_حسين_الأكرف\nشهر,,1429هـ,
ذبح الطفل,"صالح_الدرازي, علي_حمادي, سيد_حسين_المالكي\n\nموكب",,1438 هـ,موكب النعيم - ليلة عاشر من محرم - 1438 هـ\n\nالهندسة الصوتية : شريف المرهون
حج كربلاء,سيد_شرف_الستراوي\n\n,,1438 هـ,ماتم حمد - واديان - سترة\n\nالهندسة الصوتية : جرح الحسين
باب الفرج,سيد_شرف_الستراوي,استشهاد الامام العسكري (ع) - 1439 هـ\nموكب صدد المركزي (23)\n\nالهندسة الصوتية : جرح الحسين,1439 هـ,موكب صدد المركزي (23)\n\nالهندسة الصوتية : جرح الحسين
لما صرعوا,سيد_هاني_الوداعي,,1428 هـ,
فصبرت,مهدي_سهوان,,,ماتم الحاج علي بن أحمد - الحياك - المحرق\n\nالهندسة الصوتية : محسن الدقاق
إروي يقيني,الشيخ_حسين_الأكرف\nذكرى,ذكرى استشهاد فاطمة الزهراء (ع) 1431 هـ\nمأتم الافراض  - سلطنة عمان,1431 هـ,
أدركنا يا مختار,الشيخ_حسين_الأكرف\nليلة,,1433 هـ,حسينية البلوش - الكويت
أحاديث,الشيخ_حسين_الأكرف\nشهر,,1428 هـ,
إبن المنابر,الشيخ_حسين_الأكرف\n\nليلة,,1437 هـ,حسينية الحيدرية - الكويت
آنه بخير,الشيخ_حسين_الأكرف\n\nشهر,,1442 هـ,
شمس الخميني,"مهدي_سهوان, سيد_ابراهيم_الستري\n\n",,1430 هـ,
انا الهادي,"سيد_حسين_الموسوي, سيد_حسين_المالكي\n\n",استشهاد الامام الهادي (ع) - 1431 هـ,1431 هـ,
وعد الرحيل,الشيخ_حسين_الأكرف\n,استشهاد الامام الكاظم  - 1434 هـ,1434 هـ,
أم الامان,سيد_شرف_الستراوي\nماتم,وفاة ام البنين - 1438 هـ,1438 هـ,ماتم بن عيد - سند - وفاة ام البنين - 1438 هـ
كسرنا القيود,يوسف_الرومي,استشهاد الامام موسى الكاظم (ع) - 1435 هـ\n\nالهندسة الصوتية : علي مبارك,1435 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء (ع) - في استشهاد الامام موسى الكاظم (ع) - 1435 هـ\n\nالهندسة الصوتية : علي مبارك
صرخة الحوراء,"يوسف_الرومي, علي_حمادي\nماتم",استشهاد السيدة زينب عليها السلام - 1428 هـ,1428 هـ,ماتم الامام علي (ع) - ابو قوة - في استشهاد السيدة زينب عليها السلام - 1428 هـ
أذن يا بلال,"يوسف_الرومي, أباذر_الحلواجي\nماتم",استشهاد الزهراء (ع) - 1427 هـ,1427 هـ,ماتم بن زبر - في استشهاد الزهراء (ع) - 1427 هـ
ثأر موسى في جبيني,"الشيخ_حسن_عيسى, صالح_الدرازي\n\nماتم",استشهاد الامام الكاظم (ع) - 1416 هـ,1416 هـ,ماتم سترة - في استشهاد الامام الكاظم (ع) - 1416 هـ
بحق زينب,سيد_هاني_الوداعي\n\nماتم,ذكرى استشهاد السيدة زينب عليها السلام  - 1429 هـ,1429 هـ,ماتم الامام علي (ع)  - قرية ابو قوة - في ذكرى استشهاد السيدة زينب عليها السلام  - 1429 هـ
علمينا الصبر يا زهراء,"مهدي_سهوان, علي_حمادي\n\nفي",ذكرى استشهاد الزهراء (ع) \nليلة 14 جمادى الأول من عام 1433 هـ\nمسجد فاطمة الزهراء (ع) - مدينة الزهراء\n\nالإعادة ما بعد المشاركة في ماتم بن خميس اللتي ضمت علي حمادي و جعفر سهوان,1433 هـ,مسجد فاطمة الزهراء (ع) - مدينة الزهراء\n\nالإعادة ما بعد المشاركة في ماتم بن خميس اللتي ضمت علي حمادي و جعفر سهوان
