Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
الصلح الثائر,"علي_غريب, أحمد_قربان",استشهاد الامام الحسن المجتبى (ع) \nليلة 8 صفر 1437 هـ 2016 م\nماتم الامام الرضا ع - موكب عزاء المالكية \n\nالتسجيل الصوتي : محمد سلمان \nالهندسة الصوتية : علي مبارك,1437 هـ,ماتم الامام الرضا ع - موكب عزاء المالكية \n\nالتسجيل الصوتي : محمد سلمان \nالهندسة الصوتية : علي مبارك
خيرة الله من الخلق,الشيخ_حسين_الأكرف,,1430 هـ,موكب عزاء مأتم بن سلوم - المنامة
فاجعة الكتاب,الشيخ_حسين_الأكرف,,1424 هـ,
والنجم إذا هوى,الشيخ_حسين_الأكرف,,1429 هـ,
غربة في وطن,الشيخ_حسين_الأكرف,,1436 هـ,حسينية الأوحد - الكويت
ما نسيتك,صالح_الدرازي,,1438 هـ,
أم السبطين 3,"علي_حمادي, سيد_حسين_الموسوي, صالح_الدرازي",ذكرى استشهاد الزهراء (ع) الرواية الأولى\nماتم القرية القديم - سترة - البحرين\n\nحمادي ميديا\nالهندسة الصوتية : محسن الدقاق\n\nالنسخة مع مشاركة صالح الدرازي في أعظم نار ..,1440 هـ,ماتم القرية القديم - سترة - البحرين\n\nحمادي ميديا\nالهندسة الصوتية : محسن الدقاق\n\nالنسخة مع مشاركة صالح الدرازي في أعظم نار ..
أم السبطين 3,"علي_حمادي, سيد_حسين_الموسوي, صالح_الدرازي",ذكرى استشهاد الزهراء (ع) الرواية الأولى\nماتم القرية القديم - سترة - البحرين\n\nحمادي ميديا\nالتسجيل الصوتي : علي الحر\nالهندسة الصوتية : علي مبارك\n\nالنسخة بدون مشاركة صالح الدرازي في أعظم نار ..,1440 هـ,ماتم القرية القديم - سترة - البحرين\n\nحمادي ميديا\nالتسجيل الصوتي : علي الحر\nالهندسة الصوتية : علي مبارك\n\nالنسخة بدون مشاركة صالح الدرازي في أعظم نار ..
العباس ثورة الوفاء,"الشيخ_حسين_الأكرف, أحمد_قربان\nليلة",,1424 هـ,حسينية البلوش - الكويت\n\nنسخة مقصصة .. ميديا شبكة الحجة
العباس ثورة الوفاء,"الشيخ_حسين_الأكرف, أحمد_قربان\nليلة",,1424 هـ,حسينية البلوش - الكويت\n\nنسخة السيدي
سفينة الحلم,سيد_محمود_الموسوي,وفاة بليلة\nموكب العزاء هيئة أهل البيت (ع) - حسينية السيد كاظم - قرية جنوسان - البحرين\n\nالتسجيل و الهندسة الصوتية : أحمد فخر,1446 هـ,موكب العزاء هيئة أهل البيت (ع) - حسينية السيد كاظم - قرية جنوسان - البحرين\n\nالتسجيل و الهندسة الصوتية : أحمد فخر
ماله ناصر,يوسف_الرومي,استشهاد مسلم ابن عقيل سلام الله عليه \nليلة خامس 5 من محرم 1445 هـ  \nموكب عزاء واديان - سترة \n\nالتسجيل الصوتي : \nرائد أبو حسين - اعلامية الموكب\nالهندسة الصوتية : علي مبارك,1445 هـ,موكب عزاء واديان - سترة \n\nالتسجيل الصوتي : \nرائد أبو حسين - اعلامية الموكب\nالهندسة الصوتية : علي مبارك
محمد نور تجلى,"علي_حمادي, سيد_ناصر_الشرف\n",,1446 هـ,ماتم و البداية داخل الماتم الرادود #سيد_ناصر_الشرف\n \nشهادة الرسول الأعظم النبي محمد (ص)\nيوم 28 صفر 1446 هـ عصراً\nموكب عزاء ماتم بن خميس - السنابس \n\nملاحظه: هذا التسجيل يحوي المشاركة خارج الماتم فقط للرادود علي حمادي\n\nحمادي ميديا
فرياد صرخة,"جعفر_القشعمي, قاسم_الوسطي",,1436 هـ,
كربلاء ثورة,عبد_الأمير_البلادي,,1436 هـ,
لن تمحو ذكرنا,الشيخ_حسين_الأكرف\nيوم,,1427 هـ,
لبيك يا خميني,سيد_شرف_الستراوي,,1431 هـ,مسجد الشيخ علي بن حسان\nموكب بقية الله - تاروت - القطيف
كتاب اليمين,"الشيخ_حسين_الأكرف\n, قحطان_البديري\n\nشهادة",,1434 هـ,حسينية الحيدرية - الكويت
لقاء العشق,جعفر_الدرازي,ذكرى وفاة السيدة فاطمة المعصومة \nليلة 10 ربيع الثاني - 1440 هـ\nموكب عراد ماتم الحاج حسن العرادي - عراد  \n\nالتسجيل الصوتي : محمد البوري \nالهندسة الصوتية : علي مبارك,1440 هـ,موكب عراد ماتم الحاج حسن العرادي - عراد  \n\nالتسجيل الصوتي : محمد البوري \nالهندسة الصوتية : علي مبارك
راح القمر,"أحمد_العويناتي, سيد_شرف_الستراوي",,1440 هـ,
,علي_حمادي,ذكرى وفاة السيدة رقية سلام الله عليها \nليلة 5 صفر - 1446 هـ\nماتم السهلة الجنوبية - السهلة - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان,1446 هـ,ماتم السهلة الجنوبية - السهلة - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
,"مهدي_سهوان, رضا_ملا_علي",,1446 هـ,موكب للشبل #رضا_ملا_علي \n \nذكرى الأربعين - أربعين الإمام الحسين (ع)\nيوم 20 صفر - 1446 هـ عصراً\nموكب ماتم بن خميس - السنابس - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
,"مهدي_سهوان, مطهر_سهوان",,1446 هـ,موكب مسجد السيدة خديجة سلام الله عليها - مدينة الزهراء - البحرين\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
,"حسين_عبد_الرسول, سيد_حسين_الموسوي",,1446 هـ,موكب عزاء أسكان عالي - البحرين\n\nالتسجيل الصوتي: حسين المقابي \nالهندسة الصوتية: محمد سلمان
سلام الله يا حيدر,الشيخ_حسين_الأكرف,,1427 هـ,موكب عزاء مأتم بن سلوم - المنامة
هذا الفراق,الشيخ_حسين_الأكرف,,1427 هـ,مسجد الزهراء (ع) - البحرين\n\nالهندسة الصوتية : محسن الدقاق
عليك كل سلامي,"عبد_الأمير_البلادي, صالح_الدرازي",,1444 هـ,موكب عزاء مأتم الحاج عباس - المنامة
رحيل الزهراء,"جعفر_الدرازي, صالح_الدرازي",ذكرى استشهاد فاطمة الزهراء (ع)\nليلة 13 جمادى الأول 1435 هـ الرواية الثالثة\nحسينية البلوش - الكويت\n\nتسجيلات البلوش,1435 هـ,حسينية البلوش - الكويت\n\nتسجيلات البلوش
ملهمة العفاف,"سيد_هاني_الوداعي, سيد_شرف_الستراوي",,1436 هـ,ماتم الامام علي (ع) - أبو قوة - البحرين\n\nالهندسة الصوتية: محسن الدقاق
,"حسين_عبد_الرسول, مهدي_طريف",ذكرى استشهاد الامام الحسن العسكري (ع)\nيوم 8 ربيع الأول 1446 هـ عصراً\nموكب عزاء ماتم بن خميس - السنابس \n\nالتسجيل الصوتي : حسين المقابي \n الهندسة الصوتية : محمد سلمان,1446 هـ,حسينية قبل الموكب\n \nذكرى استشهاد الامام الحسن العسكري (ع)\nيوم 8 ربيع الأول 1446 هـ عصراً\nموكب عزاء ماتم بن خميس - السنابس \n\nالتسجيل الصوتي : حسين المقابي \n الهندسة الصوتية : محمد سلمان
شوقاً أتينا,"علي_حمادي, كميل_عاشور",,1446 هـ,موكب عزاء ماتم بن سلوم - المنامة -  البحرين \n\nملاحظه : لم يستطع أبو نور ( الرادود علي حمادي )  إكمال هذه المشاركة وأكمل الفقرة الأخيرة الرادود #كميل_عاشور مع فقرة ايضاً\n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
,مهدي_سهوان,,1446 هـ,موكب عزاء قرية كرزكان -  البحرين \n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
الصابرة,"علي_حمادي, مهدي_سهوان",ذكرى وفاة السيدة زينب سلام الله عليها\nليلة 16 رجب 1427 هـ 2006 م\n ماتم الامام علي (ع) - أبو قوة - البحرين \n\nحرب تموز 2006 وإعلان النصر الالهي\n\nحمادي ميديا,1427 هـ,ماتم الامام علي (ع) - أبو قوة - البحرين \n\nحرب تموز 2006 وإعلان النصر الالهي\n\nحمادي ميديا
عن نهجك والله شبراً لا نحيد,يوسف_الرومي\n\nذكرى,,1421 هـ,
الوعد الصادق,الشيخ_حسين_الأكرف,,,
علم التقى,علي_حمادي,,1446 هـ,ماتم المرخ - قرية المرخ - البحرين \n\nالتسجيل الصوتي : حسين المقابي \nالهندسة الصوتية : محمد سلمان
حملوه بالقنا,صالح_الدرازي,,1431 هـ,موكب عزاء ماتم بن سلوم - المنامة - البحرين
لكنها لاذت,الشيخ_حسين_الأكرف,,1425 هـ,
